OBJECTID,NA_ID,NEIGHB_NAME,STATUS,CLASSIFICA,Web,ShapeSTArea,ShapeSTLength
10528,1,Allied Dunn's Marsh ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/1.html,15125679.9106781,16657.0556134914
10529,2,Appalachian Ridge ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/2.html,991818.94527266,3985.70967291942
10530,3,Arbor Hills ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/3.html,9987932.99271549,14913.5688331667
10531,4,Bay Creek    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/4.html,16037596.2723554,19820.0438899587
10532,5,Bayview Foundation Inc.,Active,Resident Association,https://www.cityofmadison.com/neighborhoods/profile/5.html,376433.448115407,2605.415003527
10533,6,Berkley Oaks    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/6.html,5581781.38811673,13202.6257213006
10534,8,Bram's Addition    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/8.html,5606444.50355169,11582.0949818523
10535,9,Brentwood Village  ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/9.html,4664783.29223607,10814.5900030637
10536,10,Brittingham Apartments Resident's  ,Active,Resident Association,https://www.cityofmadison.com/neighborhoods/profile/12.html,210315.468270899,2040.46155727946
10537,11,Bridge-Lakepoint,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/11.html,3256032.2259852,9990.53211797707
10538,12,Burke Heights    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/12.html,10345396.9318281,13047.7889837646
10539,13,Burr Oaks    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/13.html,13627748.3841946,15886.8737483255
10540,14,Capitol Neighborhoods,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/14.html,19864871.6514981,20186.7978294426
10541,15,Capitol View    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/15.html,8719311.49381249,17881.6888733151
10542,16,Carpenter-Ridgeway    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/16.html,28156875.8158793,22488.6866954055
10543,17,Cherokee Garden Condominium  ,Active,Condominium Association,https://www.cityofmadison.com/neighborhoods/profile/17.html,2739893.19840127,7519.63828265632
10544,19,Dudgeon-Monroe    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/19.html,13474810.1689772,23873.3863662891
